x,y,group
0.0,3376.7,11434
1.332,3376.6,11434
1.676,3376.5,11434
5.504,3376.6,11434
6.028,3376.7,11434
6.54,3376.6,11434
6.972,3376.5,11434
7.687999999999999,3376.6,11434
11.12,3376.4,11434
11.576,3376.6,11434
12.8,3376.5,11434
12.928,3376.3,11434
23.06,3376.1,11434
23.096,3376.0,11434
23.096,3376.2,11434
23.144,3376.0,11434
26.008,3375.9,11434
27.864,3375.8,11434
29.744,3375.7,11434
29.896,3375.6,11434
30.292,3375.5,11434
30.976,3375.4,11434
32.424,3375.3,11434
32.604,3375.2,11434
32.604,3375.1,11434
35.16,3375.5,11434
35.248,3375.6,11434
37.42,3375.8,11434
40.204,3375.7,11434
40.204,3375.6,11434
40.204,3375.8,11434
40.368,3375.7,11434
47.336,3375.8,11434
47.812,3375.9,11434
48.532,3376.0,11434
52.196,3376.2,11434
52.796,3376.3,11434
54.844,3376.7,11434
56.004,3376.8,11434
59.928,3376.9,11434
63.968,3376.8,11434
67.66799999999999,3376.5,11434
68.42,3376.6,11434
68.792,3376.5,11434
77.72399999999999,3376.6,11434
78.67199999999998,3376.4,11434
78.676,3376.2,11434
80.81999999999998,3376.3,11434
87.0,3376.0,11434
89.816,3375.9,11434
0.0,3375.8,11451
1.88,3375.7,11451
2.032,3375.6,11451
2.428,3375.5,11451
3.112,3375.4,11451
4.56,3375.3,11451
4.74,3375.2,11451
4.74,3375.1,11451
7.2959999999999985,3375.5,11451
7.383999999999999,3375.6,11451
9.556,3375.8,11451
12.34,3375.7,11451
12.34,3375.6,11451
12.34,3375.8,11451
12.504,3375.7,11451
19.472,3375.8,11451
19.948,3375.9,11451
20.668,3376.0,11451
24.332,3376.2,11451
24.932,3376.3,11451
26.98,3376.7,11451
28.14,3376.8,11451
32.064,3376.9,11451
36.104,3376.8,11451
39.804,3376.5,11451
40.556,3376.6,11451
40.928,3376.5,11451
49.86,3376.6,11451
50.808,3376.4,11451
50.812,3376.2,11451
52.956,3376.3,11451
59.136,3376.0,11451
61.952,3375.9,11451
62.688,3376.0,11451
62.956,3375.9,11451
63.4,3376.0,11451
63.992,3375.8,11451
64.724,3375.6,11451
65.208,3375.7,11451
68.328,3375.8,11451
68.756,3375.9,11451
71.67999999999999,3375.8,11451
74.116,3375.7,11451
82.13599999999998,3375.6,11451
89.92,3375.7,11451
92.596,3375.5,11451
95.704,3375.6,11451
95.704,3375.5,11451
95.708,3375.6,11451
96.704,3375.7,11451
0.0,3375.6,11631
0.2439999999999999,3375.8,11631
1.476,3375.9,11631
1.952,3375.8,11631
3.408,3375.7,11631
4.06,3375.9,11631
4.86,3375.8,11631
8.668,3375.9,11631
12.088,3375.8,11631
12.564,3375.7,11631
12.564,3375.8,11631
12.564,3375.7,11631
12.568,3375.8,11631
12.568,3375.7,11631
12.572,3375.8,11631
16.163999999999998,3375.9,11631
21.66,3375.8,11631
24.736,3375.6,11631
25.888,3375.5,11631
30.824,3375.6,11631
40.8,3375.7,11631
40.8,3375.8,11631
40.8,3375.9,11631
45.884,3376.0,11631
47.352,3376.1,11631
47.36,3376.0,11631
47.776,3375.9,11631
49.372,3375.8,11631
52.56,3375.7,11631
53.512,3375.6,11631
53.664,3375.7,11631
54.328,3376.0,11631
54.64,3375.9,11631
56.272,3375.8,11631
56.348,3375.7,11631
58.132,3375.6,11631
61.548,3375.7,11631
61.548,3375.6,11631
61.548,3375.7,11631
61.548,3375.8,11631
61.548,3375.9,11631
61.548,3376.0,11631
61.552,3375.9,11631
61.556,3376.0,11631
61.56,3375.9,11631
61.564,3375.8,11631
61.676,3375.7,11631
64.728,3375.6,11631
65.764,3375.5,11631
65.776,3375.3,11631
0.0,3375.8,11647
3.076,3375.6,11647
4.228,3375.5,11647
9.164,3375.6,11647
19.14,3375.7,11647
19.14,3375.8,11647
19.14,3375.9,11647
24.224,3376.0,11647
25.692,3376.1,11647
25.7,3376.0,11647
26.116,3375.9,11647
27.712,3375.8,11647
30.9,3375.7,11647
31.852,3375.6,11647
32.004,3375.7,11647
32.668,3376.0,11647
32.98,3375.9,11647
34.612,3375.8,11647
34.687999999999995,3375.7,11647
36.472,3375.6,11647
39.888,3375.7,11647
39.888,3375.6,11647
39.888,3375.7,11647
39.888,3375.8,11647
39.888,3375.9,11647
39.888,3376.0,11647
39.892,3375.9,11647
39.896,3376.0,11647
39.9,3375.9,11647
39.904,3375.8,11647
40.016,3375.7,11647
43.068,3375.6,11647
44.104,3375.5,11647
44.116,3375.3,11647
49.06,3375.2,11647
54.0,3375.4,11647
54.004,3375.5,11647
54.072,3375.6,11647
54.072,3375.7,11647
54.072,3375.8,11647
54.072,3375.9,11647
54.076,3375.8,11647
54.176,3375.9,11647
54.288,3375.7,11647
56.416,3375.8,11647
57.14,3375.7,11647
57.14,3375.9,11647
73.804,3375.8,11647
73.80799999999998,3375.9,11647
75.07599999999998,3376.0,11647
0.0,3375.8,11670
0.0,3375.9,11670
0.0,3376.0,11670
0.004,3375.9,11670
0.008,3376.0,11670
0.012,3375.9,11670
0.016,3375.8,11670
0.128,3375.7,11670
3.18,3375.6,11670
4.216,3375.5,11670
4.228,3375.3,11670
9.172,3375.2,11670
14.112,3375.4,11670
14.116,3375.5,11670
14.184,3375.6,11670
14.184,3375.7,11670
14.184,3375.8,11670
14.184,3375.9,11670
14.188,3375.8,11670
14.287999999999998,3375.9,11670
14.4,3375.7,11670
16.528,3375.8,11670
17.252,3375.7,11670
